win,first_blood,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,tower_kills_team_1,inhibitor_kills_team_1,baron_kills_team_1,dragon_kills_team_1,vilemaw_kills_team_1,rift_herald_kills_team_1,tower_kills_team_2,inhibitor_kills_team_2,baron_kills_team_2,dragon_kills_team_2,vilemaw_kills_team_2,rift_herald_kills_team_2,kills_top_team_1,assists_top_team_1,deaths_top_team_1,gold_earned_20m_top_team_1,cs_20m_top_team_1,xp_20m_top_team_1,damege_taken_20m_top_team_1,kills_middle_team_1,assists_middle_team_1,deaths_middle_team_1,gold_earned_20m_middle_team_1,cs_20m_middle_team_1,xp_20m_middle_team_1,damege_taken_20m_middle_team_1,kills_jungle_team_1,assists_jungle_team_1,deaths_jungle_team_1,gold_earned_20m_jungle_team_1,cs_20m_jungle_team_1,xp_20m_jungle_team_1,damege_taken_20m_jungle_team_1,kills_bottom_duo_support_team_1,assists_bottom_duo_support_team_1,deaths_bottom_duo_support_team_1,gold_earned_20m_bottom_duo_support_team_1,cs_20m_bottom_duo_support_team_1,xp_20m_bottom_duo_support_team_1,damege_taken_20m_bottom_duo_support_team_1,kills_bottom_duo_carry_team_1,assists_bottom_duo_carry_team_1,deaths_bottom_duo_carry_team_1,gold_earned_20m_bottom_duo_carry_team_1,cs_20m_bottom_duo_carry_team_1,xp_20m_bottom_duo_carry_team_1,damege_taken_20m_bottom_duo_carry_team_1,kills_top_team_2,assists_top_team_2,deaths_top_team_2,gold_earned_20m_top_team_2,cs_20m_top_team_2,xp_20m_top_team_2,damege_taken_20m_top_team_2,kills_middle_team_2,assists_middle_team_2,deaths_middle_team_2,gold_earned_20m_middle_team_2,cs_20m_middle_team_2,xp_20m_middle_team_2,damege_taken_20m_middle_team_2,kills_jungle_team_2,assists_jungle_team_2,deaths_jungle_team_2,gold_earned_20m_jungle_team_2,cs_20m_jungle_team_2,xp_20m_jungle_team_2,damege_taken_20m_jungle_team_2,kills_bottom_duo_support_team_2,assists_bottom_duo_support_team_2,deaths_bottom_duo_support_team_2,gold_earned_20m_bottom_duo_support_team_2,cs_20m_bottom_duo_support_team_2,xp_20m_bottom_duo_support_team_2,damege_taken_20m_bottom_duo_support_team_2,kills_bottom_duo_carry_team_2,assists_bottom_duo_carry_team_2,deaths_bottom_duo_carry_team_2,gold_earned_20m_bottom_duo_carry_team_2,cs_20m_bottom_duo_carry_team_2,xp_20m_bottom_duo_carry_team_2,damege_taken_20m_bottom_duo_carry_team_2
2,2,2,2,0,2,2,0,0,0,1,0,0,7,3,0,2,0,1,5,7,4,539.7,9.0,665.5999999999999,1033.1,0.0,1.0,4.0,142.4,0.0,93.60000000000001,156.3,11.0,4.0,7.0,625.7,1.3,622.4000000000001,1721.3000000000002,3.0,13.0,6.0,428.5,2.1,561.5,628.4,2.0,7.0,4.0,305.3,5.9,589.2,652.4,3,9,2,345.5,5.6,501.1,789.8,7.0,7.0,4.0,513.5,7.9,479.5,1290.5,7.0,5.0,8.0,400.0,0.2,392.4,1212.5,1.0,11.0,4.0,311.7,0.4,298.2,602.2,6.0,8.0,3.0,391.5,5.5,314.0,782.6
2,2,2,0,0,2,0,0,0,0,0,0,0,5,0,0,1,0,0,10,1,8,562.2,4.7,531.4000000000001,1075.9,0.0,4.0,6.0,310.6,7.4,430.29999999999995,605.0,3.0,1.0,7.0,382.4,0.8,482.20000000000005,989.2,0.0,5.0,4.0,232.1,0.2,448.09999999999997,359.29999999999995,1.0,2.0,6.0,366.1,9.399999999999999,488.4,533.2,12,2,4,549.3,8.9,557.5,963.6,2.0,12.0,6.0,11.0,4.0,4.0,513.4,527.7,6.4,0.1,482.9,600.0999999999999,907.3,855.0,3.0,8.0,0.0,342.1,0.7999999999999999,336.0,343.7,2.0,8.0,2.0,460.20000000000005,7.8999999999999995,520.6,604.9000000000001
2,2,0,2,2,1,2,3,0,0,2,0,0,8,1,1,1,0,1,2,8,7,280.3,6.1,400.5,933.8000000000001,3.0,7.0,6.0,343.4,6.7,426.3,534.8,11.0,6.0,5.0,476.90000000000003,1.1,542.3,1112.0,0.0,12.0,6.0,239.3,0.6,286.6,515.1,3.0,6.0,6.0,450.79999999999995,9.2,417.9,631.4,6,11,14,5.0,1.0,6.0,393.5,647.5,7.300000000000001,8.7,539.4,612.3,448.6,734.3,2.0,11.0,7.0,275.9,0.4,401.4,1073.2,3.0,10.0,3.0,304.70000000000005,1.5,399.9,456.0,8.0,8.0,2.0,459.5,7.1,452.9,397.5
1,1,0,1,1,1,0,9,1,1,2,0,0,3,0,0,2,0,0,4,3,9,396.3,7.2,533.9,1176.2,14.0,6.0,4.0,463.7,6.199999999999999,544.4,548.5,11.0,12.0,8.0,386.0,1.6,455.40000000000003,1061.0,5.0,28.0,4.0,338.0,0.8999999999999999,444.2,413.9,12.0,12.0,8.0,569.9000000000001,8.1,522.8,997.5,5,6,10,474.09999999999997,7.3,548.7,916.9,5.0,4.0,7.0,393.1,8.6,557.5999999999999,573.9,10.0,8.0,9.0,608.3,2.5,764.0999999999999,915.1,3.0,8.0,11.0,323.8,0.7,317.6,627.8,10.0,6.0,10.0,647.4000000000001,8.4,545.0,894.0
2,2,0,2,2,2,1,3,0,0,1,0,1,7,1,1,3,0,0,5,11,5,465.0,4.8,572.5999999999999,986.2,8.0,2.0,6.0,488.20000000000005,8.2,564.6,455.70000000000005,10.0,4.0,6.0,480.9,1.5999999999999999,559.1,1011.5,2.0,15.0,8.0,254.9,1.0,344.8,934.5,8.0,10.0,9.0,408.5,5.6,494.70000000000005,618.5999999999999,7,8,5,8.0,6.0,8.0,397.9,343.3,9.8,5.8,498.9,443.0,663.8,1331.5,7.0,12.0,4.0,515.0999999999999,1.1,535.5,1068.4,0.0,24.0,10.0,299.5,1.7000000000000002,365.1,685.7,12.0,9.0,5.0,479.8,7.6,446.0,477.5
2,1,0,2,1,2,2,3,0,1,2,0,0,9,2,1,2,0,1,9,5,9,9.0,5.0,6.0,410.0,393.0,9.2,8.0,531.4,485.0,1078.0,874.1,8.0,12.0,9.0,400.5,1.3,513.5,902.1,6.0,9.0,11.0,227.2,0.6,197.10000000000002,1030.4,5.0,12.0,5.0,328.9,6.5,408.9,232.5,7,15,4,513.5999999999999,8.4,599.7,644.6,2.0,13.0,7.0,287.6,5.1,350.20000000000005,619.2,1.0,15.0,22.0,11.0,8.0,7.0,346.6,537.8,0.2,1.6,412.6,675.9,441.3,1175.1,11.0,9.0,7.0,613.3,7.6,583.9,558.1
1,1,2,2,1,1,2,9,1,1,3,0,0,7,1,0,1,0,1,3,7,7,341.29999999999995,5.2,349.5,665.4000000000001,10.0,3.0,3.0,444.6,7.1,527.5,763.9,5.0,8.0,5.0,556.8,1.6,725.5,876.4,0.0,12.0,4.0,268.1,2.7,358.4,606.2,9.0,9.0,4.0,476.8,7.5,464.29999999999995,679.7,6,7,2,603.4000000000001,10.0,606.1,1278.8000000000002,2.0,6.0,6.0,421.0,7.6,526.1,722.2,9.0,3.0,6.0,375.2,0.8999999999999999,409.8,903.0,2.0,4.0,6.0,207.4,2.0,237.10000000000002,745.3,4.0,5.0,7.0,386.7,6.5,375.70000000000005,624.9000000000001
2,1,2,2,2,2,2,2,0,0,2,0,0,10,2,2,3,0,1,11,9,7,502.90000000000003,8.3,633.0,1250.4,4.0,10.0,10.0,287.5,5.8,413.1,662.6,10.0,9.0,10.0,295.6,0.6000000000000001,403.7,1092.0,0.0,17.0,7.0,240.2,0.6000000000000001,341.1,256.5,8.0,13.0,5.0,393.6,9.3,474.1,496.29999999999995,6,15,10,10.0,8.0,13.0,441.4,450.90000000000003,8.0,5.6,513.8,500.4,593.9,885.5,5.0,20.0,3.0,469.40000000000003,2.2,683.9,851.3000000000001,1.0,13.0,6.0,248.0,0.1,341.5,351.29999999999995,12.0,9.0,3.0,436.9,8.3,476.4,570.8
2,2,2,2,0,1,2,0,0,0,2,0,0,9,1,0,1,0,1,0,2,7,352.0,9.5,586.9,679.4,1.0,2.0,4.0,320.0,8.4,463.9,573.0999999999999,6.0,3.0,4.0,399.9,0.7999999999999999,515.4,936.0,2.0,6.0,5.0,334.1,3.5,359.4,638.8,5.0,1.0,4.0,334.79999999999995,8.2,406.4,283.5,4,9,0,540.2,11.2,646.8,758.1,5.0,6.0,3.0,435.7,7.4,533.4,877.1,6.0,4.0,7.0,420.0,0.4,496.0,813.9,4.0,5.0,2.0,328.1,3.4,369.5,541.0999999999999,5.0,6.0,3.0,469.1,9.9,485.6,595.0
2,2,2,0,2,2,0,2,0,0,0,0,0,3,0,1,3,0,0,4,7,10,451.3,4.7,425.6,1296.7,4.0,5.0,3.0,4.0,8.0,8.0,418.2,334.7,6.0,1.5,535.9000000000001,431.5,1159.8,998.5999999999999,2.0,5.0,4.0,321.9,1.7000000000000002,377.9,860.0,2.0,4.0,6.0,344.8,6.199999999999999,425.29999999999995,741.0,9,4,3,535.6,7.8,576.4000000000001,731.7,7.0,11.0,5.0,420.6,5.199999999999999,492.6,1191.9,13.0,7.0,3.0,525.5,2.1,550.3,1009.0999999999999,3.0,16.0,1.0,344.29999999999995,1.4,435.3,363.1,4.0,6.0,5.0,425.70000000000005,6.7,513.7,924.5999999999999
